Subject,Start Date,Start Time,End Date,End Time,Location,Description
"🚇 Seattle Day 1 · Arrive SEA -- passport control, baggage claim, transfer to Link","2026-11-01","14:10","2026-11-01","14:55","SEA Airport","Arrival transition block after landing in Seattle on Korean Air KE047 (ICN-SEA), booking reference EMR56H.
Purpose: 45-minute buffer for passport control and baggage claim -- international arrivals at SEA can run long, so this is the full allotment rather than the previous 25-minute estimate.
Estimated cost: $6 for the airport-to-city transit leg (ORCA day-pass model, first ride of the day).
Timing: Land 2:10 PM, leave the secure area by about 2:55 PM.
Estimated cost: $6.
Duration: 45 min.
Site link: https://itscarly.github.io/seapdx/dashboards/html/index.html#stop-day-1-0-0-arrive-sea-passport-control-ba"
"🚇 Seattle Day 1 · Link light rail to Downtown Seattle","2026-11-01","14:55","2026-11-01","15:40","SEA -> Downtown","Link ride from SEA into Downtown Seattle.
What to expect: Easy no-drama airport transfer -- settle in, hydrate, let the arrival day stay simple.
Cost note: Fare already counted in the previous airport-transfer stop.
Duration: 45 min.
Site link: https://itscarly.github.io/seapdx/dashboards/html/index.html#stop-day-1-0-1-link-light-rail-to-downtown-se"
"🚶 Seattle Day 1 · Walk to Palihotel Seattle","2026-11-01","15:40","2026-11-01","15:50","Downtown","Short station-to-hotel walk.
What to expect: Palihotel is right in the heart of downtown near Pike Place, so this walk is very manageable even jet-lagged.
Estimated arrival: around 3:50 PM.
Duration: 10 min.
Site link: https://itscarly.github.io/seapdx/dashboards/html/index.html#stop-day-1-0-2-walk-to-palihotel-seattle"
"📍 Seattle Day 1 · Palihotel Seattle check-in","2026-11-01","15:50","2026-11-01","16:50","Palihotel Seattle, 107 Pine St, Seattle, WA 98101","Trivia: Palihotel Seattle is a boutique hotel in the Palisociety group, set right in the heart of downtown Seattle a few blocks from Pike Place Market -- known for a design-forward, mid-century-leaning look distinct from typical big-chain downtown hotels.
Location: 107 Pine St, Seattle, WA 98101 -- steps from Pike Place, 2nd Ave shopping, and the Link tunnel stations.
Reservation: Confirmation #2434SG190857, itinerary #73521738329875, Deluxe Room 1 Queen Bed, 2 adults, total $662.00 (already paid). Official check-in is 3:00 PM so arrival around 3:50 PM should be after check-in opens.
Safety note: Downtown core / Pike Place blocks report a 15% year-over-year drop in violent crime through 2025 and are described as busy and well-policed during the day (Downtown Seattle Association reporting via KOMO News, Aug 2025). Standard city awareness is enough for a mid-afternoon hotel check-in.
Location: Palihotel Seattle, 107 Pine St, Seattle, WA 98101
Website: https://www.palihotel.com/hotels/palihotel-seattle/
Payment: Prepaid -- $662.00 total, already charged
Duration: 60 min.
Site link: https://itscarly.github.io/seapdx/dashboards/html/index.html#stop-day-1-0-3-palihotel-seattle-check-in"
"🛍️ Seattle Day 1 · H Mart Downtown Seattle -- grocery run","2026-11-01","16:50","2026-11-01","17:10","H Mart, 1601 2nd Ave, Seattle, WA 98101","Trivia: H Mart (""Han Ah Reum,"" Korean for ""one arm full of groceries"") is the largest Korean-American grocery chain in the US, known for fresh produce, a huge banchan/ready-to-heat section, and an in-store food court in some locations -- this downtown Seattle location is grocery-focused.
Why this stop: Stock up on ready-to-heat food (rice bowls, dumplings, banchan, instant meals) to bring back to Palihotel as tonight's dinner, since Pike Place Chowder's ~4:30 PM close makes it unreachable on this timeline.
ORDER: A mix of ready-to-heat meals, snacks, and drinks (see reference photo).
Budget: capped at $30 -- traveler-requested headroom, not a target. You likely won't spend the full amount, but the ready-to-heat spread can run up quickly.
Safety note: Late-afternoon (~4:50-5:10 PM) on the 2nd Ave retail corridor is described in local reporting as one of the cleaner downtown stretches compared to the 3rd Ave corridor a block over, which is documented as the area with the most visible street-drug activity in the central city (KOMO News, Aug 2025). Standard awareness recommended; this stop is during busy daylight retail hours.
Location: H Mart, 1601 2nd Ave, Seattle, WA 98101
Website: https://www.hmart.com/
Payment: Cards/Apple Pay only -- H Mart does not accept cash
Estimated cost: $30.
Duration: 20 min.
Site link: https://itscarly.github.io/seapdx/dashboards/html/index.html#stop-day-1-0-4-h-mart-downtown-seattle-grocer"
"🚶 Seattle Day 1 · Walk back to Palihotel to drop off food","2026-11-01","17:10","2026-11-01","17:20","Downtown","Purpose: Drop the H Mart food in the room fridge/microwave setup so it's ready as dinner around 5-6 PM.
Duration: 10 min.
Site link: https://itscarly.github.io/seapdx/dashboards/html/index.html#stop-day-1-0-5-walk-back-to-palihotel-to-drop"
"🛍️ Seattle Day 1 · Target Downtown Seattle (Pike Plaza) -- pickup order","2026-11-01","17:20","2026-11-01","17:45","Target, 1401 2nd Ave, Seattle, WA 98101 (Seattle Pike Plaza)","Order Pickup at Seattle Pike Plaza -- 2 items:
- Zantac 360 Maximum Strength Heartburn Prevention and Relief Tablets, Famotidine, 25ct -- $10.89
- Truly Unruly Variety Pack, 12pk/12 fl oz cans -- $18.99
Estimated total (incl. WA sales tax): $34.36.
Safety note: Same downtown/Pike Plaza block as H Mart -- early evening, busy retail hours, no specific advisories found for this address.
Location: Target, 1401 2nd Ave, Seattle, WA 98101 (Seattle Pike Plaza)
Website: https://www.target.com/
Payment: Cards accepted
Estimated cost: $34.36.
Duration: 25 min.
Site link: https://itscarly.github.io/seapdx/dashboards/html/index.html#stop-day-1-1-0-target-downtown-seattle-pike-p"
"🚶 Seattle Day 1 · Walk to Pike Place Bar & Grill","2026-11-01","17:45","2026-11-01","18:00","Downtown / Pike Place","Purpose: Short walk from Target to Pike Place Bar & Grill.
Duration: 10 min.
Site link: https://itscarly.github.io/seapdx/dashboards/html/index.html#stop-day-1-1-1-walk-to-pike-place-bar-grill"
"🍽️ Seattle Day 1 · Dinner at Pike Place Bar & Grill","2026-11-01","18:00","2026-11-01","19:00","Pike Place Bar & Grill","Menu: https://www.eatatpikeplace.com/happy-hour
ORDER:
- Grilled Chicken Burger (tomato, lettuce, creamy horseradish, sourdough) -- $14.95
- Prickly-Pear Margarita (Cuervo Gold, triple sec, prickly-pear cactus puree, fresh lime sour, salt rim, on the rocks) -- $10.00
- Fresca (Absolut Citron, muddled citrus, soda water, splash grapefruit juice) -- $10.00
Subtotal: $34.95. Plus 10.35% WA/Seattle sales tax ($3.62) and 18% tip on the subtotal ($6.29) = est. total $44.86.
Safety note: Pike Place itself is described as busy and well-policed daily (KOMO News, Aug 2025); early-evening dinner hour here is a core tourist area with heavy foot traffic.
Location: Pike Place Bar & Grill
Payment: Cards accepted
Estimated cost: $44.86.
Duration: 60 min.
Site link: https://itscarly.github.io/seapdx/dashboards/html/index.html#stop-day-1-1-2-dinner-at-pike-place-bar-grill"
"🎟️ Seattle Day 1 · Waterfront Park","2026-11-01","19:00","2026-11-01","19:40","Waterfront Park (Pier 62/Pier 58 area)","Trivia: Seattle's new Waterfront Park is the centerpiece of the ~$1.2B Waterfront Seattle redevelopment -- a ~20-acre string of public spaces from Pier 57 to Pier 62, including the Seattle Aquarium and Pier 62's floating dock and lawn (ASCE, Jan 2026).
IMPORTANT -- posted hours: Pier 62 / Waterfront Park is posted open daily 7 AM-10 PM (seattle.gov / waterfrontparkseattle.org). Arriving right at 10 PM means the park will likely already be closing or closed -- go earlier in the evening (e.g. right after dinner, ~6:30-7:30 PM) to actually have time there before it shuts.
Safety note (sourced, not a live feed): Seattle Parks & Rec's 2026 ""Summer of Safety"" initiative specifically calls out increased staffing/security, clearer signage, and lighting/sight-line improvements at high-use parks including the waterfront (Seattle Parks, May 2026); Seattle Center also states the park's operations prioritize clear sight lines and lighting as safety measures. No source found with a specific crime count or homelessness figure for Waterfront Park at night as of this writing -- that gap is stated here rather than guessed at. General downtown-Seattle guidance from multiple 2026 visitor-safety writeups: core tourist areas including the waterfront feel safe during the day and evening hours when busy; visible homelessness/drug activity downtown is common and generally not dangerous, but isolated/empty stretches after dark warrant normal city caution. Given the 10 PM close, plan to be there earlier while it's still lit, staffed, and populated rather than right at closing.
Location: Waterfront Park (Pier 62/Pier 58 area)
Payment: Free walk-in
Duration: 40 min.
Site link: https://itscarly.github.io/seapdx/dashboards/html/index.html#stop-day-1-1-3-waterfront-park"
